Epoch,TotalEnvInteracts,AverageTestEpRet,StdTestEpRet,TestEpLen,AverageTrainEpRet,StdTrainEpRet,TrainEpLen,Q1,Q2
0,0,-100.0,0.0,100.0,0,0,0,0,0
1,1000,-93.9,25.017794,74.3,-114.958336,25.440256,40.791668,-23.451618,-23.457632
2,2000,-61.9,30.553068,42.9,-68.29412,29.787018,57.294117,-31.807148,-31.801102
3,3000,-100.0,0.0,100.0,-82.416664,24.867846,82.75,-31.606644,-31.602488
4,4000,-47.3,0.64031243,48.3,-89.73333,26.624468,70.2,-34.952633,-34.950047
5,5000,-86.4,33.13065,47.2,-63.1,28.277023,49.0,-35.087837,-35.086674
6,6000,-104.9,29.20428,25.9,-104.04,25.931416,40.84,-30.851315,-30.838823
7,7000,-46.8,0.4,47.8,-66.89474,30.230509,51.94737,-38.166077,-38.167835
8,8000,-46.2,0.4,47.2,-63.764706,26.831785,58.64706,-37.904644,-37.907196
9,9000,-53.8,22.071701,44.8,-62.083332,30.023485,42.25,-36.032223,-36.033085
10,10000,-61.3,29.6076,42.3,-56.636364,25.185755,44.0,-34.188446,-34.191334
11,11000,-75.9,35.806286,36.9,-53.363636,21.08111,45.272728,-33.30815,-33.30843
12,12000,-68.5,33.5,39.5,-52.739132,20.612822,45.04348,-32.521442,-32.522957
13,13000,-46.8,0.4,47.8,-50.095238,15.638491,46.333332,-31.595629,-31.594818
14,14000,-46.7,0.45825756,47.7,-49.772728,15.114507,46.227272,-30.532707,-30.533812
15,15000,-46.9,0.5385165,47.9,-46.857143,0.46656948,47.857143,-29.985205,-29.98384
16,16000,-61.1,29.204279,42.1,-53.454544,21.049135,45.363636,-29.503462,-29.503527
17,17000,-47.2,0.4,48.2,-61.875,29.616032,42.041668,-29.228806,-29.228539
18,18000,-54.2,21.60463,45.2,-59.652172,27.691795,43.260868,-28.81865,-28.819172
19,19000,-59.6,25.310867,50.5,-56.863636,25.357975,44.227272,-28.491116,-28.491781
20,20000,-46.5,0.5,47.5,-50.227272,15.017966,46.68182,-28.107977,-28.107727
21,21000,-47.0,0.4472136,48.0,-56.81818,24.98115,44.18182,-27.663525,-27.663958
22,22000,-54.1,21.970207,45.1,-50.363636,15.203306,46.81818,-27.263006,-27.261555
23,23000,-46.5,0.5,47.5,-50.285713,15.593475,46.52381,-26.931479,-26.93236
24,24000,-54.0,22.009089,45.0,-67.36,32.832764,40.36,-26.737253,-26.737123
25,25000,-61.3,29.103437,42.3,-62.125,29.696117,42.291668,-26.705175,-26.703907
26,26000,-46.8,0.4,47.8,-70.36,34.141914,39.36,-26.581469,-26.582489
27,27000,-54.1,21.970207,45.1,-57.363636,25.030066,44.727272,-26.622993,-26.622787
28,28000,-69.2,33.477753,40.2,-74.296295,35.21239,38.25926,-26.367699,-26.367
29,29000,-91.3,35.766045,32.3,-65.5,31.760824,41.5,-26.420483,-26.419937
30,30000,-61.6,29.199999,42.6,-54.238094,21.668287,45.714287,-26.391243,-26.39061
31,31000,-69.0,33.609524,40.0,-67.6,32.859703,40.6,-26.175964,-26.175945
32,32000,-54.1,21.974758,45.1,-47.095238,0.68346196,48.095238,-26.108238,-26.107489
33,33000,-46.9,0.5385165,47.9,-59.608696,27.715542,43.217392,-25.885736,-25.885336
34,34000,-61.5,29.254913,42.5,-69.23077,33.932407,39.46154,-25.868832,-25.868273
35,35000,-47.0,0.4472136,48.0,-68.25,33.304466,40.083332,-25.866234,-25.866413
36,36000,-46.7,0.64031243,47.7,-53.5,20.877892,45.409092,-25.798492,-25.798187
37,37000,-76.1,36.462173,37.1,-46.809525,0.5870871,47.809525,-25.486004,-25.48525
38,38000,-46.5,0.5,47.5,-46.666668,0.56343615,47.666668,-25.23591,-25.236435
39,39000,-46.3,0.45825756,47.3,-53.409092,20.748842,45.31818,-25.101032,-25.099539
40,40000,-46.3,0.4582576,47.3,-56.260868,24.56441,44.217392,-25.003254,-25.003
41,41000,-46.5,0.5,47.5,-50.190475,15.622387,46.42857,-24.916183,-24.916925
42,42000,-112.4,22.136847,23.4,-46.666668,0.4714045,47.666668,-24.860691,-24.860281
43,43000,-46.5,0.5,47.5,-56.04348,24.646152,44.0,-24.634144,-24.634499
44,44000,-46.7,0.4582576,47.7,-62.041668,29.839123,42.208332,-24.687105,-24.686527
45,45000,-46.5,0.5,47.5,-56.260868,24.562641,44.217392,-24.409351,-24.4085
46,46000,-46.7,0.64031243,47.7,-53.5,21.038385,45.409092,-24.504124,-24.503908
47,47000,-46.6,0.48989797,47.6,-56.727272,25.148977,44.090908,-24.334818,-24.33451
48,48000,-46.9,0.5385165,47.9,-46.52381,0.4994328,47.52381,-24.344908,-24.345558
49,49000,-46.6,0.48989797,47.6,-53.272728,21.110493,45.18182,-24.327684,-24.326279
50,50000,-46.6,0.66332495,47.6,-50.045456,15.061926,46.5,-24.337566,-24.33699
51,51000,-68.6,33.434113,39.6,-46.761906,0.52596956,47.761906,-24.118376,-24.119091
52,52000,-46.4,0.48989797,47.4,-76.62963,36.039223,36.88889,-24.080252,-24.080452
53,53000,-46.7,0.45825756,47.7,-46.666668,0.56343615,47.666668,-24.070395,-24.069927
54,54000,-54.4,22.204504,45.4,-46.61905,0.5753831,47.61905,-23.860409,-23.860983
55,55000,-46.7,0.4582576,47.7,-46.61905,0.5753831,47.61905,-23.81447,-23.8154
56,56000,-46.7,0.4582576,47.7,-46.52381,0.58708704,47.52381,-23.70767,-23.706535
57,57000,-46.3,0.45825756,47.3,-50.190475,15.622387,46.42857,-23.817738,-23.817799
58,58000,-53.8,22.071701,44.8,-46.666668,0.64241606,47.666668,-23.698694,-23.698101
59,59000,-46.8,0.4,47.8,-50.090908,15.27002,46.545456,-23.665878,-23.665735
60,60000,-46.7,0.4582576,47.7,-53.31818,21.093699,45.227272,-23.625963,-23.626205
61,61000,-46.4,0.48989797,47.4,-53.454544,21.208334,45.363636,-23.496601,-23.49707
62,62000,-46.3,0.45825756,47.3,-53.272728,21.267094,45.18182,-23.415085,-23.414085
63,63000,-46.6,0.48989797,47.6,-46.57143,0.58321184,47.57143,-23.325863,-23.327105
64,64000,-46.2,0.4,47.2,-59.52174,27.754938,43.130436,-23.207024,-23.20584
65,65000,-68.6,33.434113,39.6,-49.909092,15.08735,46.363636,-23.288101,-23.287523
66,66000,-46.7,0.45825756,47.7,-49.954544,15.292533,46.409092,-23.157904,-23.158367
67,67000,-46.4,0.48989797,47.4,-59.347828,27.948101,42.95652,-23.120852,-23.120281
68,68000,-46.4,0.48989797,47.4,-53.5,21.034063,45.409092,-23.149477,-23.149723
69,69000,-68.4,33.565456,39.4,-56.68182,25.033407,44.045456,-23.166746,-23.166977
70,70000,-53.8,22.071701,44.8,-53.545456,21.178305,45.454544,-23.012808,-23.01236
71,71000,-46.4,0.663325,47.4,-50.136364,15.250321,46.590908,-23.101015,-23.099434
72,72000,-47.1,0.29999998,48.1,-56.04348,24.518808,44.0,-23.028109,-23.02767
73,73000,-46.4,0.66332495,47.4,-53.454544,21.208334,45.363636,-23.009047,-23.00884
74,74000,-46.4,0.48989797,47.4,-53.31818,21.095856,45.227272,-23.060284,-23.058596
75,75000,-68.9,33.45579,39.9,-46.61905,0.5753831,47.61905,-22.990723,-22.99113
76,76000,-53.8,22.071701,44.8,-50.142857,15.627465,46.38095,-22.841373,-22.84173
77,77000,-53.9,22.038376,44.9,-56.173912,24.853754,44.130436,-22.843723,-22.8424
78,78000,-46.6,0.48989797,47.6,-49.727272,15.345067,46.18182,-22.912243,-22.911972
79,79000,-54.0,22.004545,45.0,-53.31818,21.250423,45.227272,-22.782726,-22.782242
80,80000,-46.8,0.4,47.8,-65.0,31.664913,41.0,-22.83955,-22.83955
81,81000,-46.6,0.48989797,47.6,-53.227272,20.963026,45.136364,-22.93102,-22.929918
82,82000,-46.3,0.45825756,47.3,-58.875,27.342447,43.208332,-22.861126,-22.860527
83,83000,-61.0,29.755672,42.0,-56.68182,25.297117,44.045456,-22.917688,-22.91683
84,84000,-46.7,0.45825756,47.7,-53.18182,21.135138,45.090908,-22.889961,-22.888638
85,85000,-46.5,0.5,47.5,-53.454544,21.049135,45.363636,-22.818844,-22.819883
86,86000,-83.2,36.605465,34.2,-56.347828,24.660492,44.304348,-22.69557,-22.695665
87,87000,-53.9,21.704607,44.9,-56.391304,24.775057,44.347828,-22.932465,-22.931837
88,88000,-46.8,0.4,47.8,-46.57143,0.58321184,47.57143,-22.777435,-22.776617
89,89000,-46.5,0.5,47.5,-52.954544,21.055073,44.863636,-22.733223,-22.730919
90,90000,-46.5,0.5,47.5,-46.52381,0.4994328,47.52381,-22.754574,-22.755527
91,91000,-46.5,0.5,47.5,-53.272728,21.267094,45.18182,-22.697245,-22.697247
92,92000,-61.3,29.353195,42.3,-46.57143,0.65982884,47.57143,-22.65189,-22.651966
93,93000,-46.5,0.5,47.5,-46.761906,0.52596956,47.761906,-22.578527,-22.575321
94,94000,-46.6,0.48989797,47.6,-53.31818,20.937973,45.227272,-22.619598,-22.620571
95,95000,-46.4,0.48989797,47.4,-46.714287,0.45175397,47.714287,-22.622507,-22.621132
96,96000,-53.9,22.038376,44.9,-53.409092,21.066257,45.31818,-22.593964,-22.594429
97,97000,-46.2,0.4,47.2,-53.409092,21.066257,45.31818,-22.611757,-22.610426
98,98000,-46.4,0.66332495,47.4,-46.52381,0.58708704,47.52381,-22.41504,-22.414875
99,99000,-46.7,0.4582576,47.7,-59.47826,27.773727,43.086956,-22.530613,-22.530434
100,100000,-46.4,0.48989797,47.4,-52.913044,20.711082,45.217392,-22.565083,-22.562836
101,101000,-53.7,22.113571,44.7,-53.18182,21.293694,45.090908,-22.4887,-22.490671
102,102000,-53.7,22.104525,44.7,-53.363636,21.235788,45.272728,-22.412703,-22.410461
103,103000,-46.4,0.66332495,47.4,-46.714287,0.5471012,47.714287,-22.541271,-22.540916
104,104000,-46.8,0.4,47.8,-56.909092,25.204456,44.272728,-22.512579,-22.511438
105,105000,-61.2,29.4034,42.2,-49.954544,15.292533,46.409092,-22.348696,-22.348965
106,106000,-46.4,0.48989797,47.4,-50.190475,15.622387,46.42857,-22.41638,-22.416265
107,107000,-54.5,21.841475,45.5,-53.5,21.038385,45.409092,-22.465183,-22.46452
108,108000,-53.8,22.071701,44.8,-49.727272,15.35099,46.18182,-22.447042,-22.445879
109,109000,-46.2,0.4,47.2,-46.52381,0.58708704,47.52381,-22.456734,-22.457504
110,110000,-46.4,0.48989797,47.4,-46.61905,0.5753831,47.61905,-22.361217,-22.35904
111,111000,-53.9,22.038376,44.9,-53.31818,21.091547,45.227272,-22.340614,-22.339083
112,112000,-46.3,0.45825756,47.3,-46.47619,0.4994328,47.47619,-22.344208,-22.344269
113,113000,-46.3,0.4582576,47.3,-46.52381,0.58708704,47.52381,-22.330585,-22.329706
114,114000,-53.9,22.371634,44.9,-49.727272,15.559802,46.18182,-22.264812,-22.263906
115,115000,-46.4,0.48989797,47.4,-46.904762,0.6098214,47.904762,-22.255104,-22.253683
116,116000,-47.9,0.5385165,48.9,-46.857143,0.8329931,47.857143,-22.23912,-22.238192
117,117000,-54.1,21.974758,45.1,-59.52174,27.754938,43.130436,-22.235012,-22.235765
118,118000,-53.7,22.104525,44.7,-53.18182,21.139439,45.090908,-22.290247,-22.291214
119,119000,-46.5,0.67082036,47.5,-50.090908,15.267043,46.545456,-22.341133,-22.33916
120,120000,-46.4,0.48989797,47.4,-50.38095,15.803785,46.61905,-22.269512,-22.26907
121,121000,-46.6,0.48989797,47.6,-46.714287,0.62813836,47.714287,-22.337011,-22.335665
122,122000,-47.2,0.59999996,48.2,-46.666668,0.56343615,47.666668,-22.23841,-22.239105
123,123000,-54.0,21.67487,45.0,-50.47619,15.570482,46.714287,-22.19796,-22.197252
124,124000,-47.4,0.48989797,48.4,-50.31818,15.45194,46.772728,-22.210882,-22.209703
125,125000,-46.7,0.45825756,47.7,-50.761906,15.49164,47.0,-22.22868,-22.228292
126,126000,-46.5,0.5,47.5,-50.52381,15.558245,46.761906,-22.212236,-22.210676
127,127000,-46.5,0.5,47.5,-46.857143,0.7737179,47.857143,-22.21475,-22.212574
128,128000,-47.0,0.6324555,48.0,-49.954544,15.519715,46.409092,-22.166502,-22.168056
129,129000,-54.1,22.308968,45.1,-50.285713,15.817841,46.52381,-22.16893,-22.168072
130,130000,-46.9,0.5385165,47.9,-46.61905,0.5753831,47.61905,-22.203207,-22.20248
131,131000,-46.5,0.67082036,47.5,-46.809525,0.66325665,47.809525,-22.110058,-22.108175
132,132000,-48.1,0.29999998,49.1,-47.95238,1.2901158,48.95238,-22.106703,-22.107384
133,133000,-53.9,22.038376,44.9,-53.636364,21.31697,45.545456,-22.050688,-22.047728
134,134000,-46.6,0.48989797,47.6,-50.333332,15.591004,46.57143,-22.13016,-22.129402
135,135000,-46.5,0.67082036,47.5,-53.227272,21.279379,45.136364,-22.11216,-22.112621
136,136000,-47.9,0.5385165,48.9,-51.238094,15.405332,47.47619,-21.980661,-21.980259
137,137000,-48.5,0.5,49.5,-48.333332,0.71269673,49.333332,-21.960379,-21.95913
138,138000,-48.1,0.29999998,49.1,-48.95,0.8046738,49.95,-21.882996,-21.883244
139,139000,-49.1,0.5385165,50.1,-52.25,15.329302,48.25,-21.889812,-21.889345
140,140000,-47.7,0.64031243,48.7,-48.47619,0.95713097,49.47619,-22.047949,-22.046562
141,141000,-46.5,0.5,47.5,-47.55,0.86458075,48.55,-22.066235,-22.067152
142,142000,-46.5,0.5,47.5,-53.409092,21.0641,45.31818,-22.100168,-22.0999
143,143000,-46.5,0.67082036,47.5,-46.857143,0.5593972,47.857143,-22.080395,-22.077078
144,144000,-46.6,0.48989797,47.6,-53.272728,21.106186,45.18182,-22.112488,-22.112728
145,145000,-46.4,0.48989797,47.4,-46.61905,0.5753831,47.61905,-22.042715,-22.044281
146,146000,-46.7,0.45825756,47.7,-50.090908,15.264066,46.545456,-22.075695,-22.073082
147,147000,-46.6,0.8,47.6,-46.714287,0.5471012,47.714287,-22.035194,-22.035543
148,148000,-46.4,0.48989797,47.4,-46.857143,0.70950776,47.857143,-22.003788,-22.002079
149,149000,-46.5,0.5,47.5,-46.8,0.509902,47.8,-21.945116,-21.94484
150,150000,-46.7,0.781025,47.7,-46.857143,0.5593972,47.857143,-22.021109,-22.021309
